water_level,volume_m3,volume_tmc,area_ha
33.0,0.0,0.0,0.0
33.1,482984.2371669825,0.01705642736728439,482.98423716697573
33.2,965968.474333965,0.03411285473456878,482.98423716697573
33.300000000000004,1448952.7115009476,0.051169282101853175,482.98423716697573
33.400000000000006,1931936.94866793,0.06822570946913756,482.98423716697573
33.50000000000001,2414921.1858349126,0.08528213683642195,482.98423716697573
33.60000000000001,2897905.423001895,0.10233856420370635,482.98423716697573
33.70000000000001,3380889.6601688783,0.11939499157099075,482.98423716697573
33.80000000000001,3863873.89733586,0.13645141893827512,482.98423716697573
33.90000000000001,4346858.134502843,0.15350784630555953,482.98423716697573
34.000000000000014,4829842.371669827,0.17056427367284396,485.13498982038146
34.100000000000016,5314977.361490214,0.1876966541532837,485.13498982038146
34.20000000000002,5800112.351310602,0.20482903463372346,485.13498982038146
34.30000000000002,6285247.341130991,0.22196141511416323,485.13498982038146
34.40000000000002,6770382.330951379,0.239093795594603,485.13498982038146
34.50000000000002,7255517.320771768,0.2562261760750428,485.13498982038146
34.60000000000002,7740652.310592156,0.2733585565554826,485.13498982038146
34.700000000000024,8225787.300412545,0.2904909370359224,485.13498982038146
34.800000000000026,8710922.290232932,0.3076233175163621,485.13498982038146
34.90000000000003,9196057.280053321,0.32475569799680193,485.13498982038146
35.00000000000003,9681192.26987371,0.34188807847724173,485.50903376010416
35.10000000000003,10166701.303633818,0.35903366819475185,485.50903376010416
35.20000000000003,10652210.337393932,0.37617925791226225,485.50903376010416
35.30000000000003,11137719.371154042,0.3933248476297725,485.50903376010416
35.400000000000034,11623228.404914154,0.4104704373472828,485.50903376010416
35.500000000000036,12108737.438674266,0.42761602706479307,485.50903376010416
35.60000000000004,12594246.472434374,0.44476161678230325,485.50903376010416
35.70000000000004,13079755.506194487,0.4619072064998136,485.50903376010416
35.80000000000004,13565264.539954597,0.47905279621732383,485.50903376010416
35.90000000000004,14050773.573714709,0.4961983859348341,485.50903376010416
36.00000000000004,14536282.60747482,0.5133439756523445,485.6960557299655
36.100000000000044,15021978.663204795,0.53049616998839,485.6960557299655
36.200000000000045,15507674.718934765,0.5476483643244354,485.6960557299655
36.30000000000005,15993370.774664737,0.564800558660481,485.6960557299655
36.40000000000005,16479066.830394711,0.5819527529965266,485.6960557299655
36.50000000000005,16964762.886124685,0.5991049473325721,485.6960557299655
36.60000000000005,17450458.941854652,0.6162571416686174,485.6960557299655
36.70000000000005,17936154.997584626,0.6334093360046631,485.6960557299655
36.800000000000054,18421851.0533146,0.6505615303407086,485.6960557299655
36.900000000000055,18907547.109044574,0.6677137246767543,485.6960557299655
37.00000000000006,19393243.16477455,0.6848659190127998,485.7895667148962
37.10000000000006,19879032.731489446,0.7020214156581127,485.7895667148962
37.20000000000006,20364822.298204347,0.7191769123034258,485.7895667148962
37.30000000000006,20850611.864919256,0.7363324089487392,485.7895667148962
37.40000000000006,21336401.431634158,0.7534879055940523,485.7895667148962
37.500000000000064,21822190.998349063,0.7706434022393656,485.7895667148962
37.600000000000065,22307980.565063965,0.7877988988846786,485.7895667148962
37.70000000000007,22793770.131778866,0.8049543955299917,485.7895667148962
37.80000000000007,23279559.69849377,0.822109892175305,485.7895667148962
37.90000000000007,23765349.265208673,0.8392653888206181,485.7895667148962
38.00000000000007,24251138.831923578,0.8564208854659312,485.97658868475753
38.10000000000007,24737115.420608338,0.8735829867297795,485.97658868475753
